RAT MESENTERY 546 segments

    segment_name  node_from     node_to    segment_diameter
	2038	2038	2016	9.27
	2039	2039	2038	10.71
	2040	2040	2039	9.68
	2041	2041	2015	33.83
	2042	2042	2041	32.29
	2043	810	2042	27.85
	2046	2046	2042	22.84
	2047	2047	2046	21.74
	2048	811	2047	18.18
	2052	2052	2011	6.67
	2053	2053	2009	37.73
	2054	2054	2053	18.74
	2055	2055	2054	16.14
	2056	2056	2055	11.35
	2057	2057	2056	17.73
	2058	2058	2057	12.03
	2059	2059	2053	36.87
	2061	2061	2059	6.3
	2062	2062	2059	36.38
	2063	2063	2062	40.41
	2064	2064	2063	38.98
	2065	2065	2064	41.43
	2066	2066	2065	28.58
	2067	2067	2066	10.66
	2068	2068	2067	5.64
	2069	2069	2067	10.24
	2070	2070	2066	32.77
	2071	2071	2070	39.86
	2072	2072	2071	32.81
	2073	2073	2072	31.08
	2074	2074	2073	16.82
	2075	2075	2073	29.62
	2076	2076	2075	28.75
	2077	2077	2076	21.88
	2078	2080	2077	5.3
	2079	2079	2077	23.7
	2080	2080	2079	12.94
	2081	2081	2080	12.74
	2082	2082	2081	11.65
	2083	837	2082	11.19
	2085	2085	2079	20.93
	2086	2086	2085	10.4
	2087	2087	2085	15.98
	2088	2088	2087	8.33
	2089	2089	2087	10.84
	2090	2090	2089	6.39
	2091	2091	2076	18.19
	2092	2092	2091	18.61
	2093	2093	2092	16.39
	2094	2094	2093	10.89
	2095	2095	2072	18.05
	2096	2096	2095	11.83
	2097	2097	2065	35.3
	2098	2098	2097	35.37
	2099	2099	2098	17.65
	2100	2100	2099	9.53
	2101	2101	2100	9.99
	2102	2102	2101	6.31
	2103	2103	2098	32.69
	2104	2104	2103	29.78
	2105	2105	2104	28.18
	2106	2106	2105	12.85
	2107	834	2106	14.55
	2108	833	2104	30.29
	2110	2110	2103	9.77
	2111	2111	2097	9.66
	2112	2112	2063	13.35
	2113	2113	2112	9.33
	2114	2114	2113	11.41
	2115	2115	2114	12.68
	2116	2116	2115	10.11
	2117	2117	2116	7.53
	2118	2118	2116	9.18
	2119	2119	2062	11.01
	2120	2120	2119	10.47
	2121	2121	2120	11.47
	2122	2122	2120	6.82
	2123	2123	2122	7.06
	2124	2124	2123	6.52
	2125	2125	2124	6.8
	2126	2124	2119	8.83
	2127	2127	2007	8.2
	2128	2128	2014	34.97
	2129	2129	2128	36.08
	2130	2130	2129	35.71
	2131	2131	2130	34.32
	2132	2132	2131	37.3
	2133	2133	2132	36.08
	2134	2134	2133	35.14
	2135	2135	2134	8.29
	2136	813	2134	37.78
	2147	2147	2133	12.43
	2148	812	2147	9.49
	2149	2149	2147	9.54
	2150	2150	2013	12.33
	2151	2151	2150	12.88
	2152	2152	2151	7.05
	2153	2153	2008	7.57
	2154	2154	2153	5.59
	2155	2155	2006	45.51
	2156	2156	2155	49.67
	2157	2157	2156	44.64
	2158	2158	2159	48.45
	2159	2159	2157	48.26
	2160	2160	2159	12.65
	2161	2161	2158	50.24
	2162	2162	2158	19.49
	2163	2163	2157	6.98
	2164	2164	2161	47.1
	2165	2165	2164	51.19
	2166	2166	2665	44.87
	2167	2167	2166	44.4
	2168	814	2167	39.81
	2174	2174	2665	37.18
	2175	2175	2174	37.33
	2176	815	2175	33.12
	2188	2188	2175	12.99
	2189	2189	2164	24.59
	2190	2190	2189	19.92
	2191	2191	2190	26.8
	2192	2192	2191	11.36
	2193	2193	2192	12.84
	2194	2194	2191	20.36
	2195	816	2194	10.84
	2197	2197	2194	18.46
	2198	2198	2197	18.42
	2199	817	2198	8.28
	2200	2200	2198	13.47
	2201	2201	2200	13.52
	2202	2202	2201	12.59
	2203	2203	2202	10.18
	2204	2204	2203	9.44
	2205	2205	2204	9.3
	2206	2206	2204	6.82
	2207	2207	2206	7.06
	2208	2206	2202	8.82
	2209	2209	2309	9.84
	2210	2210	2161	14.71
	2211	2211	2210	13.24
	2212	2212	2211	5.64
	2213	2213	2212	7.75
	2214	2212	2210	8.08
	2215	2215	2156	29.33
	2216	2216	2215	6.75
	2217	2217	2216	4.99
	2218	2218	2215	32.63
	2219	2219	2218	7.25
	2220	2220	2218	37.8
	2221	2221	2220	38.48
	2222	2222	2221	39.46
	2223	2223	2222	35.65
	2224	2224	2223	34.92
	2225	2225	2224	39.62
	2226	2226	2225	6.72
	2227	820	2225	39.1
	2250	823	2220	5.38
	2251	2251	2004	6.3
	2253	2253	2005	16.55
	2254	2254	2253	16.44
	2255	2255	2254	12.63
	2256	2256	2255	11.17
	2257	2257	2256	10.71
	2259	2259	2257	12.44
	2260	2260	2259	9.22
	2261	2261	2259	8.07
	2262	2262	2254	20.99
	2263	2263	2262	18.24
	2264	2264	2263	13.82
	2265	2265	2264	13.72
	2266	828	2265	15.98
	2270	827	2264	15.94
	2273	2273	2003	9.58
	2274	2274	2273	12.98
	2275	2275	2001	14.87
	2276	2276	2263	9.22
	2303	2303	2003	57.92
	2304	2304	2303	56.47
	2309	2309	2189	10.6
	2319	2319	2019	14.27
	2324	2324	2024	9.39
	2665	2665	2165	48.3
				
   boundary_nodes				
	801			
	802			
	803			
	804			
	805			
	806			
	809			
	810			
	811			
	812			
	813			
	814			
	815			
	816			
	817			
	818			
	819			
	820			
	821			
	822			
	823			
	824			
	825			
	826			
	827			
	828			
	829			
	830			
	831			
	832			
	833			
	834			
	835			
	836			
	837			
	838			
